Var1,Var2,value
Flap setting lo 1000ft,Flap mvmt late app,0.719654141
Flap mvmt late app,Flap setting lo 1000ft,0.719654141
Air spd hi 8000-10000ft,Air spd hi 1000-8000ft,0.673744129
Air spd hi 1000-8000ft,Air spd hi 8000-10000ft,0.673744129
Air spd hi 8000-5000ft,Air spd hi 10000-8000ft,0.653624197
Air spd hi 10000-8000ft,Air spd hi 8000-5000ft,0.653624197
Air spd (rel) hi 35-climb accel start,Air spd (rel) hi 35-climb accel (3 secs),0.638078939
Air spd (rel) hi 35-climb accel (3 secs),Air spd (rel) hi 35-climb accel start,0.638078939
Turb flt,Turb app,0.529003268
Turb app,Turb flt,0.529003268
Air spd hi 8000-5000ft,Air spd hi 5000-3000ft,0.461268213
Air spd hi 5000-3000ft,Air spd hi 8000-5000ft,0.461268213
Air spd (rel) lo 35ft t/o,Air spd (rel) lo 35-climb accel (3 secs),0.37663042
Air spd (rel) lo 35-climb accel (3 secs),Air spd (rel) lo 35ft t/o,0.37663042
GS dev above GS 1500-1000ft,GS dev above GS 1000-500ft,0.326565288
GS dev above GS 1000-500ft,GS dev above GS 1500-1000ft,0.326565288
Air spd hi 5000-3000ft,Air spd hi 10000-8000ft,0.310454935
Air spd hi 10000-8000ft,Air spd hi 5000-3000ft,0.310454935
Air spd hi flap 5,Air spd hi flap 2,0.308192081
Air spd hi flap 2,Air spd hi flap 5,0.308192081
RoD hi 500-50ft,RoD hi 1000-500ft,0.303540224
RoD hi 1000-500ft,RoD hi 500-50ft,0.303540224
Air spd (rel) hi 35ft t/o,Air spd (rel) hi 35-climb accel start,0.281438196
Air spd (rel) hi 35-climb accel start,Air spd (rel) hi 35ft t/o,0.281438196
Air spd (rel) hi 35ft t/o,Air spd (rel) hi 35-climb accel (3 secs),0.261070281
Air spd (rel) hi 35-climb accel (3 secs),Air spd (rel) hi 35ft t/o,0.261070281
Air spd (rel) hi liftoff,Air spd (rel) hi 35ft t/o,0.259608116
Air spd (rel) hi 35ft t/o,Air spd (rel) hi liftoff,0.259608116
Air spd (rel) hi liftoff,Air spd (rel) hi 35-climb accel start,0.233958008
Air spd (rel) hi 35-climb accel start,Air spd (rel) hi liftoff,0.233958008
GS dev below GS 1500-1000ft,GS dev below GS 1000-500ft,0.22906455
GS dev below GS 1000-500ft,GS dev below GS 1500-1000ft,0.22906455
Pitch lo 35-climb accel start,Pitch hi 400-1000ft,0.225835293
Pitch hi 400-1000ft,Pitch lo 35-climb accel start,0.225835293
Air spd (rel) hi tdwn,Air spd (rel) hi 500-20ft (3 secs),0.221041729
Air spd (rel) hi 500-20ft (3 secs),Air spd (rel) hi tdwn,0.221041729
Short flare duration,Norm g hi tdwn (hard ldg),0.220545418
Norm g hi tdwn (hard ldg),Short flare duration,0.220545418
Pitch hi 400-1000ft,Pitch hi 35-400ft,0.209724106
Pitch hi 35-400ft,Pitch hi 400-1000ft,0.209724106
Air spd (rel) hi liftoff,Air spd (rel) hi 35-climb accel (3 secs),0.209096271
Air spd (rel) hi 35-climb accel (3 secs),Air spd (rel) hi liftoff,0.209096271
Air spd hi flap 25,Air spd hi flap 15,0.208755141
Air spd hi flap 15,Air spd hi flap 25,0.208755141
Pitch lo 500-20ft,Pitch lo 1000-500ft,0.202759934
Pitch lo 1000-500ft,Pitch lo 500-20ft,0.202759934
Air spd hi 5000-3000ft,Air spd hi 3000-1000ft,0.197117394
Air spd hi 3000-1000ft,Air spd hi 5000-3000ft,0.197117394
Unstable app g/a,Ldg gear late retr g/a,0.194233176
Ldg gear late retr g/a,Unstable app g/a,0.194233176
LOC dev 1500-1000ft,LOC dev 1000-500ft,0.190323192
LOC dev 1000-500ft,LOC dev 1500-1000ft,0.190323192
GS dev above GS 500-200ft,GS dev above GS 1000-500ft,0.188227737
GS dev above GS 1000-500ft,GS dev above GS 500-200ft,0.188227737
Pitch rate lo t/o,Pitch lo 35-400ft,0.186469518
Pitch lo 35-400ft,Pitch rate lo t/o,0.186469518
LOC dev 1500-1000ft,GS dev below GS 1500-1000ft,0.185070194
GS dev below GS 1500-1000ft,LOC dev 1500-1000ft,0.185070194
Pitch hi 1000-500ft,Hgt lo 2 min tdwn,0.184581239
Hgt lo 2 min tdwn,Pitch hi 1000-500ft,0.184581239
RoD hi 2000-1000ft,RoD hi 1000-500ft,0.166536638
RoD hi 1000-500ft,RoD hi 2000-1000ft,0.166536638
Long flare duration,Hgt lo 1 min tdwn,0.164745833
Hgt lo 1 min tdwn,Long flare duration,0.164745833
Pitch lo 500-20ft,Air spd (rel) hi 500-20ft (3 secs),0.163352718
Air spd (rel) hi 500-20ft (3 secs),Pitch lo 500-20ft,0.163352718
Pitch lo 1000-500ft,Air spd (rel) hi 500-20ft (3 secs),0.15997403
Air spd (rel) hi 500-20ft (3 secs),Pitch lo 1000-500ft,0.15997403
Flap setting lo 1000ft,Air spd hi flap 25,0.158929206
Air spd hi flap 25,Flap setting lo 1000ft,0.158929206
Air spd (rel) lo 500-20ft (3 secs),Air spd (rel) lo 1000-500ft (3 secs),0.15860426
Air spd (rel) lo 1000-500ft (3 secs),Air spd (rel) lo 500-20ft (3 secs),0.15860426
RoD hi 2000-1000ft,Pitch lo 1000-500ft,0.156988284
Pitch lo 1000-500ft,RoD hi 2000-1000ft,0.156988284
GS dev below GS 500-200ft,GS dev below GS 1000-500ft,0.155998365
GS dev below GS 1000-500ft,GS dev below GS 500-200ft,0.155998365
Flap mvmt late app,Air spd hi flap 25,0.155744453
Air spd hi flap 25,Flap mvmt late app,0.155744453
Hgt hi 2 min tdwn,Hgt hi 1 min tdwn,0.153111264
Hgt hi 1 min tdwn,Hgt hi 2 min tdwn,0.153111264
Pitch hi 50ft tdwn,Air spd (rel) lo tdwn,0.152420563
Air spd (rel) lo tdwn,Pitch hi 50ft tdwn,0.152420563
LOC dev 500-200ft,LOC dev 1000-500ft,0.150051266
LOC dev 1000-500ft,LOC dev 500-200ft,0.150051266
Gnd spd hi taxi turn,Gnd spd hi taxi straight,0.1496807
Gnd spd hi taxi straight,Gnd spd hi taxi turn,0.1496807
Roll hi 300-20ft,Hdg var 500-50ft,0.148937286
Hdg var 500-50ft,Roll hi 300-20ft,0.148937286
Pitch hi 35ft t/o,Norm g hi t/o,0.145720264
Norm g hi t/o,Pitch hi 35ft t/o,0.145720264
RoD hi 3000-2000ft,RoD hi 2000-1000ft,0.14311945
RoD hi 2000-1000ft,RoD hi 3000-2000ft,0.14311945
Ldg gear late extn,Hgt lo 2 min tdwn,0.141201803
Hgt lo 2 min tdwn,Ldg gear late extn,0.141201803
RoD hi 500-50ft,Pitch lo 1000-500ft,0.13761707
Pitch lo 1000-500ft,RoD hi 500-50ft,0.13761707
RoD hi 500-50ft,Eng N1 lo 500-50ft (5 secs),0.133222022
Eng N1 lo 500-50ft (5 secs),RoD hi 500-50ft,0.133222022
RoD hi 1000-500ft,GS dev above GS 1500-1000ft,0.131154609
GS dev above GS 1500-1000ft,RoD hi 1000-500ft,0.131154609
Roll cycle fin app,Air spd (rel) hi 500-20ft (3 secs),0.125459999
Air spd (rel) hi 500-20ft (3 secs),Roll cycle fin app,0.125459999
RoD hi 500-50ft,RoD hi 2000-1000ft,0.120173809
RoD hi 2000-1000ft,RoD hi 500-50ft,0.120173809
Long flare duration,Air spd (rel) lo tdwn,0.118094634
Air spd (rel) lo tdwn,Long flare duration,0.118094634
Roll hi 1000-300ft,Hdg var 500-50ft,0.117326559
Hdg var 500-50ft,Roll hi 1000-300ft,0.117326559
Norm g hi t/o,Air spd (rel) hi 35ft t/o,0.115361635
Air spd (rel) hi 35ft t/o,Norm g hi t/o,0.115361635
Air spd hi flap 5,Air spd hi flap 1,0.115273055
Air spd hi flap 1,Air spd hi flap 5,0.115273055
Pitch lo 1000-500ft,Air spd hi flap 30,0.113351531
Air spd hi flap 30,Pitch lo 1000-500ft,0.113351531
RoD hi 2000-1000ft,Hgt hi 2 min tdwn,0.111562148
Hgt hi 2 min tdwn,RoD hi 2000-1000ft,0.111562148
Pitch hi 400-1000ft,Air spd (rel) hi 35-climb accel start,0.111478066
Air spd (rel) hi 35-climb accel start,Pitch hi 400-1000ft,0.111478066
RoD hi 1000-500ft,GS dev below GS 1000-500ft,0.111431531
GS dev below GS 1000-500ft,RoD hi 1000-500ft,0.111431531
RoD hi 2000-1000ft,Air spd hi flap 25,0.110875917
Air spd hi flap 25,RoD hi 2000-1000ft,0.110875917
Flap mvmt late app,Air spd hi flap 15,0.10993739
Air spd hi flap 15,Flap mvmt late app,0.10993739
